movieid,title
0,2001: A Space Odyssey
1,Ace Ventura: Pet Detective
2,Aladdin
3,Alien
4,Aliens
5,"Amelie (Fabuleux destin d'Amélie Poulain, Le)"
6,American Beauty
7,American History X
8,American Pie
9,Apocalypse Now
10,Apollo 13
11,Armageddon
12,As Good as It Gets
13,Austin Powers: International Man of Mystery
14,Austin Powers: The Spy Who Shagged Me
15,Avatar
16,Babe
17,Back to the Future
18,Batman
19,Batman Begins
20,Batman Forever
21,"Beautiful Mind, A"
22,Beauty and the Beast
23,Being John Malkovich
24,"Big Lebowski, The"
25,Blade Runner
26,"Bourne Identity, The"
27,Braveheart
28,"Breakfast Club, The"
29,"Bug's Life, A"
30,Casablanca
31,Cast Away
32,Catch Me If You Can
33,Clear and Present Danger
34,Clerks
35,Cliffhanger
36,"Clockwork Orange, A"
37,Clueless
38,Crimson Tide
39,"Crouching Tiger, Hidden Dragon (Wo hu cang long)"
40,Dances with Wolves
41,"Dark Knight, The"
42,"Departed, The"
43,Die Hard
44,Die Hard: With a Vengeance
45,Donnie Darko
46,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
47,Dumb & Dumber (Dumb and Dumber)
48,E.T. the Extra-Terrestrial
49,Eternal Sunshine of the Spotless Mind
50,Fargo
51,Ferris Bueller's Day Off
52,"Fifth Element, The"
53,Fight Club
54,Finding Nemo
55,"Firm, The"
56,Forrest Gump
57,Four Weddings and a Funeral
58,"Fugitive, The"
59,Full Metal Jacket
60,Ghost
61,Ghostbusters (a.k.a. Ghost Busters)
62,Gladiator
63,"Godfather, The"
64,"Godfather: Part II, The"
65,GoldenEye
66,Good Will Hunting
67,Goodfellas
68,"Green Mile, The"
69,Groundhog Day
70,Happy Gilmore
71,Harry Potter and the Chamber of Secrets
72,Harry Potter and the Prisoner of Azkaban
73,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone)
74,Heat
75,Home Alone
76,Inception
77,"Incredibles, The"
78,Independence Day (a.k.a. ID4)
79,Indiana Jones and the Last Crusade
80,Indiana Jones and the Temple of Doom
81,Interview with the Vampire: The Vampire Chronicles
82,Iron Man
83,Jumanji
84,Jurassic Park
85,Kill Bill: Vol. 1
86,Kill Bill: Vol. 2
87,L.A. Confidential
88,"Lion King, The"
89,"Lord of the Rings: The Fellowship of the Ring, The"
90,"Lord of the Rings: The Return of the King, The"
91,"Lord of the Rings: The Two Towers, The"
92,Léon: The Professional (a.k.a. The Professional) (Léon)
93,"Mask, The"
94,"Matrix Reloaded, The"
95,"Matrix, The"
96,Memento
97,Men in Black (a.k.a. MIB)
98,Minority Report
99,Mission: Impossible
100,"Monsters, Inc."
101,Monty Python and the Holy Grail
102,Mrs. Doubtfire
103,Natural Born Killers
104,"Net, The"
105,"Nightmare Before Christmas, The"
106,"O Brother, Where Art Thou?"
107,Ocean's Eleven
108,Office Space
109,One Flew Over the Cuckoo's Nest
110,Outbreak
111,Pirates of the Caribbean: The Curse of the Black Pearl
112,Pretty Woman
113,"Princess Bride, The"
114,Pulp Fiction
115,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark)
116,Rain Man
117,Requiem for a Dream
118,Reservoir Dogs
119,"Rock, The"
120,Saving Private Ryan
121,Schindler's List
122,Seven (a.k.a. Se7en)
123,Shakespeare in Love
124,"Shawshank Redemption, The"
125,"Shining, The"
126,Shrek
127,Shrek 2
128,"Silence of the Lambs, The"
129,"Sixth Sense, The"
130,Sleepless in Seattle
131,Snatch
132,Speed
133,Spider-Man
134,Star Trek: Generations
135,Star Wars: Episode I - The Phantom Menace
136,Star Wars: Episode II - Attack of the Clones
137,Star Wars: Episode IV - A New Hope
138,Star Wars: Episode V - The Empire Strikes Back
139,Star Wars: Episode VI - Return of the Jedi
140,Stargate
141,Taxi Driver
142,Terminator 2: Judgment Day
143,"Terminator, The"
144,There's Something About Mary
145,Titanic
146,Toy Story
147,Toy Story 2
148,Trainspotting
149,True Lies
150,"Truman Show, The"
151,Twelve Monkeys (a.k.a. 12 Monkeys)
152,Twister
153,Up
154,"Usual Suspects, The"
155,V for Vendetta
156,WALL·E
157,Waterworld
158,While You Were Sleeping
159,Who Framed Roger Rabbit?
160,Willy Wonka & the Chocolate Factory
161,"Wizard of Oz, The"
162,X-Men
